"sigA","sigB","topo","envfilt","stat","summary","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","Cor_ab","N","Ntot"
"0.25","0.25","one2one","none","2.5%","var",2.04331285898827e-05,0.0156159722222223,0,2.04331285898827e-05,0.0156159722222223,0,0,0.0776555555555554,31.0622222222222
"0.25","0.25","one2one","none","50%","mean",1.04208756859051,28.79,30,1.04208756859051,28.79,30,1,95.2425,1904.85
"0.25","0.25","one2one","none","50%","var",6.8342427147738e-05,0.0519027777777778,0,6.8342427147738e-05,0.0519027777777778,0,5.47820073070147e-33,0.222083333333335,88.8333333333333
"0.25","0.25","one2one","none","97.5%","mean",1.04684023699376,28.9105,30,1.04684023699376,28.9105,30,1,95.52025,1910.405
"0.25","0.25","one2one","none","97.5%","var",0.000143296231726336,0.107388888888889,0,0.000143296231726336,0.107388888888889,0,1.23259516440783e-32,0.433128472222221,173.251388888889
"0.25","0.25","one2one","none","mean","mean",1.04226176604128,28.78545,30,1.04226176604128,28.78545,30,1,95.24995,1904.999
"0.25","0.25","one2one","none","mean","var",7.29195177841917e-05,0.0553447222222222,0,7.29195177841917e-05,0.0553447222222222,0,5.4097232215677e-33,0.225365277777778,90.1461111111111
"0.25","0.25","one2one","none","var","mean",6.10259456869238e-06,0.00461166414141413,0,6.10259456869238e-06,0.00461166414141413,0,4.98018248245588e-34,0.0220037853535354,8.80151414141422
"0.25","0.25","one2one","none","var","var",1.24620929590281e-09,0.000698451335811822,0,1.24620929590281e-09,0.000698451335811822,0,1.61184272546804e-65,0.0109641918159216,1754.27069054745
"0.25","0.25","one2one","opposite","2.5%","mean",2.96370214948652,5.89425,27.385,2.96370214948652,5.89425,27.385,1,69.058625,1381.1725
"0.25","0.25","one2one","opposite","2.5%","var",0.00236688267285905,0.0100604166666667,0,0.00236688267285905,0.0100604166666667,0,6.505363367708e-34,0.0895972222222216,35.8388888888889
"0.25","0.25","one2one","opposite","50%","mean",3.67686817591648,8.1375,29.9,3.67686817591648,8.1375,29.9,1,85.6375,1712.75
"0.25","0.25","one2one","opposite","50%","var",0.00781563822012227,0.0298055555555556,0.1,0.00781563822012227,0.0298055555555556,0.1,6.84775091337684e-33,3.99945833333333,1599.78333333333
"0.25","0.25","one2one","opposite","97.5%","mean",4.99901267262553,9.949625,30,4.99901267262553,9.949625,30,1,95.20025,1904.005
"0.25","0.25","one2one","opposite","97.5%","var",0.0218814479874173,0.0597,0.766666666666667,0.0218814479874173,0.0597,0.766666666666667,1.36955018267537e-32,16.3920972222222,6556.83888888888
"0.25","0.25","one2one","opposite","mean","mean",3.82525671106178,7.88095,29.506,3.82525671106178,7.88095,29.506,1,84.5468,1690.936
"0.25","0.25","one2one","opposite","mean","var",0.00923255849224864,0.0306775,0.129555555555556,0.00923255849224864,0.0306775,0.129555555555556,7.16274745539217e-33,4.83611111111111,1934.44444444444
"0.25","0.25","one2one","opposite","var","mean",0.313964839956894,1.32963115909091,0.60339797979798,0.313964839956894,1.32963115909091,0.60339797979798,2.24108211710515e-33,44.2168886464646,17686.7554585859
