"sigA","sigB","topo","envfilt","stat","summary","env","measure","cor_a","cor_b"
"0.25","0.25","many2many","none","97.5%","var",1,"rda",0.000828942419601256,0.00553056720932626
"0.25","0.25","many2many","none","mean","var",1,"rda",0.000384768286965922,0.003745520160582
"0.25","0.25","many2many","none","var","var",1,"rda",4.57013226309822e-08,3.69897766948345e-06
"0.25","0.25","many2many","none","2.5%","mean",1,"S",-0.133579947129156,0.0136947522735217
"0.25","0.25","many2many","none","50%","mean",1,"S",0.00867558426095458,0.0499249583069418
"0.25","0.25","many2many","none","97.5%","mean",1,"S",0.152647230805613,0.0878975053998601
"0.25","0.25","many2many","none","mean","mean",1,"S",0.0104975864023761,0.0505363060471166
"0.25","0.25","many2many","none","var","mean",1,"S",0.00509384376564806,0.00152550152049424
"0.25","0.25","many2many","none","2.5%","var",1,"S",0.0240214671844195,0.0403105807629329
"0.25","0.25","many2many","none","50%","var",1,"S",0.0470687637568315,0.059382639837189
"0.25","0.25","many2many","none","97.5%","var",1,"S",0.108784863486095,0.0671478454332701
"0.25","0.25","many2many","none","mean","var",1,"S",0.0520972467335507,0.0554153228273031
"0.25","0.25","many2many","none","var","var",1,"S",0.000487777556902889,0.000211316829227526
"0.25","0.25","many2many","none","2.5%","mean",2,"jaccard",-0.0770500969558885,0.0163604614750385
"0.25","0.25","many2many","none","50%","mean",2,"jaccard",0.0110324139368989,0.0356459899256722
"0.25","0.25","many2many","none","97.5%","mean",2,"jaccard",0.0835005261509064,0.0835478881173091
"0.25","0.25","many2many","none","mean","mean",2,"jaccard",0.00530165517170432,0.0456868214137435
"0.25","0.25","many2many","none","var","mean",2,"jaccard",0.00197848210019083,0.00132607086921378
"0.25","0.25","many2many","none","2.5%","var",2,"jaccard",0.00519135260130689,0.00812789740423083
"0.25","0.25","many2many","none","50%","var",2,"jaccard",0.0149184988003127,0.011926945029438
"0.25","0.25","many2many","none","97.5%","var",2,"jaccard",0.03420031016617,0.0199187729680035
"0.25","0.25","many2many","none","mean","var",2,"jaccard",0.0165165956137174,0.0133980960165813
"0.25","0.25","many2many","none","var","var",2,"jaccard",5.55204256030165e-05,4.0134224047756e-05
"0.25","0.25","many2many","none","2.5%","mean",2,"N",-0.129270363824685,-0.129270363824685
"0.25","0.25","many2many","none","50%","mean",2,"N",0.0010414063680879,0.0010414063680879
"0.25","0.25","many2many","none","97.5%","mean",2,"N",0.161891302235691,0.161891302235691
"0.25","0.25","many2many","none","mean","mean",2,"N",0.0153252690720154,0.0153252690720154
"0.25","0.25","many2many","none","var","mean",2,"N",0.0053523658440141,0.0053523658440141
"0.25","0.25","many2many","none","2.5%","var",2,"N",0.0188460576957745,0.0188460576957745
"0.25","0.25","many2many","none","50%","var",2,"N",0.0490005455570132,0.0490005455570132
"0.25","0.25","many2many","none","97.5%","var",2,"N",0.0978046339658979,0.0978046339658979
"0.25","0.25","many2many","none","mean","var",2,"N",0.0517966742545922,0.0517966742545922
"0.25","0.25","many2many","none","var","var",2,"N",0.000420206598779376,0.000420206598779376
"0.25","0.25","many2many","none","2.5%","mean",2,"rda",0.0427130584229444,0.0382191093171217
"0.25","0.25","many2many","none","50%","mean",2,"rda",0.0535409152963972,0.057094770493153
"0.25","0.25","many2many","none","97.5%","mean",2,"rda",0.0649045794545224,0.0711225049450659
"0.25","0.25","many2many","none","mean","mean",2,"rda",0.0536020442166876,0.0553937435724097
"0.25","0.25","many2many","none","var","mean",2,"rda",3.34744262816469e-05,0.000302068580338825
"0.25","0.25","many2many","none","2.5%","var",2,"rda",8.66560453207835e-05,0.000519158203983392
"0.25","0.25","many2many","none","50%","var",2,"rda",0.000329261139095156,0.0042760558877529
"0.25","0.25","many2many","none","97.5%","var",2,"rda",0.00078800102540346,0.00473901093405138
"0.25","0.25","many2many","none","mean","var",2,"rda",0.000355720885362118,0.00312028654127184
"0.25","0.25","many2many","none","var","var",2,"rda",2.7693446463822e-08,5.93458257519265e-06
"0.25","0.25","many2many","none","2.5%","mean",2,"S",-0.158846276471146,-0.0514042540729674
"0.25","0.25","many2many","none","50%","mean",2,"S",-0.0108894791891574,-0.0371228580112042
"0.25","0.25","many2many","none","97.5%","mean",2,"S",0.106373326628659,0.0976511755484402
"0.25","0.25","many2many","none","mean","mean",2,"S",-0.00911364868096897,0.005155260409105
"0.25","0.25","many2many","none","var","mean",2,"S",0.0051691328719704,0.007495017450606
"0.25","0.25","many2many","none","2.5%","var",2,"S",0.0192166224985698,0.0409162333654622
"0.25","0.25","many2many","none","50%","var",2,"S",0.0480830759445774,0.0512481673686177
