"sigA","sigB","topo","envfilt","stat","summary","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","Cor_ab","N","Ntot"
"0.25","0.25","one2one","all","var","mean",0.457465615063192,1.82600627272727,1.2630303030303,1.91590593563659,0.662979535353535,8.34974848484848,0.00198024647426338,55.5672338484848,22226.8935393939
"0.25","0.25","one2one","all","var","var",0.000120256845254627,0.000279645548385085,0.0389193665045517,0.0267528507936945,0.000128222241239556,0.701259147025814,1.21935508179623e-07,43.727638035159,6996422.08562544
"0.25","0.25","one2one","none","2.5%","mean",1.03675033790741,28.692375,30,1.03675033790741,28.69,30,0.994863163098206,94.9795,1899.59
"0.25","0.25","one2one","none","2.5%","var",1.99703518387196e-05,0.0152965277777777,0,1.90639036489115e-05,0.0145972222222222,0,0,0.0830256944444438,33.2102777777778
"0.25","0.25","one2one","none","50%","mean",1.04135232020042,28.81,30,1.04137879790129,28.81,30,1,95.23,1904.6
"0.25","0.25","one2one","none","50%","var",6.20937506867809e-05,0.0473888888888889,0,6.20186758883693e-05,0.0472916666666667,0,7.53252600471452e-33,0.222847222222221,89.1388888888889
"0.25","0.25","one2one","none","97.5%","mean",1.04561768263348,28.937875,30,1.04570782523405,28.937875,30,1,95.51575,1910.315
"0.25","0.25","one2one","none","97.5%","var",0.000129163069698953,0.0978784722222222,0,0.000127892007933932,0.0969416666666666,0,0.000183189384406737,0.532489583333333,212.995833333333
"0.25","0.25","one2one","none","mean","mean",1.04145395540666,28.8076,30,1.04152630270911,28.8056,30,0.998952168572618,95.24035,1904.807
"0.25","0.25","one2one","none","mean","var",6.60223889895076e-05,0.0504333333333333,0,6.59526460847042e-05,0.0503711111111111,0,2.98892280466018e-05,0.2482425,99.297
"0.25","0.25","one2one","none","var","mean",5.35073831491462e-06,0.00410832323232325,0,5.45959522706329e-06,0.00419155555555556,0,3.11969354920565e-06,0.0174304318181818,6.97217272727269
"0.25","0.25","one2one","none","var","var",7.29447890558804e-10,0.000421279679511161,0,7.26253584837122e-10,0.000419616497069459,0,3.35768091446739e-09,0.0159645796523101,2554.33274436962
"0.25","0.25","one2one","opposite","2.5%","mean",1.61758158236494,11.98225,29.7425,2.63934752021094,5.642375,27.395,0.354876971757673,85.435875,1708.7175
"0.25","0.25","one2one","opposite","2.5%","var",0.000212005795116104,0.0154131944444444,0,0.00178760210887521,0.0130548611111111,0,0.000302770120460804,0.077680555555556,31.0722222222222
"0.25","0.25","one2one","opposite","50%","mean",1.93726487377801,15.42,30,3.57482438798049,8.265,29.7,0.629472024846699,94.4475,1888.95
"0.25","0.25","one2one","opposite","50%","var",0.000727999582758901,0.0428611111111111,0,0.00867706249762814,0.0411111111111111,0.1,0.00099249684350109,0.26640277777778,106.561111111111
"0.25","0.25","one2one","opposite","97.5%","mean",2.46069322539893,18.548625,30,5.04284656356064,11.370375,30,0.858103924594753,95.465,1909.3
"0.25","0.25","one2one","opposite","97.5%","var",0.00203383144260789,0.0889749999999999,0.0524999999999992,0.0380147571186588,0.0908645833333332,0.695277777777778,0.00319000431007124,8.44898055555555,3379.59222222222
"0.25","0.25","one2one","opposite","mean","mean",1.97474083586236,15.3778,29.975,3.6647319322868,8.2747,29.41,0.610308625023187,92.42075,1848.415
"0.25","0.25","one2one","opposite","mean","var",0.000851694343671235,0.04696,0.00588888888888889,0.0115175744340424,0.0436694444444444,0.175555555555556,0.00118452992371373,1.74309194444444,697.236777777778
"0.25","0.25","one2one","opposite","var","mean",0.0536033514704623,2.91792238383838,0.0212878787878788,0.396855551859434,2.22720445454545,0.706969696969697,0.0202763862978766,12.1926456439394,4877.05825757576
"0.25","0.25","one2one","opposite","var","var",2.69050111676901e-07,0.000454021204638982,0.00128309016086794,9.95049989722088e-05,0.000474230086357401,0.0475420875420875,6.45365053228833e-07,6.33651141853247,1013841.8269652
"0.25","0.25","one2one","same","2.5%","mean",1.66079784581072,12.209875,30,2.12878369976879,7.217,24.2325,0.826972793294294,85.152625,1703.0525
"0.25","0.25","one2one","same","2.5%","var",0.000170692290226439,0.0176770833333333,0,0.00103800015627763,0.01405625,0,2.44627673584769e-05,0.109438194444444,43.7752777777778
"0.25","0.25","one2one","same","50%","mean",1.916249130785,15.6575,30,2.72299153579201,10.265,28.25,0.944040522825214,94.95,1899
"0.25","0.25","one2one","same","50%","var",0.000716769804130551,0.0436805555555556,0,0.00618690402957816,0.050125,0.4,0.000100070066350763,0.293472222222221,117.388888888889
"0.25","0.25","one2one","same","97.5%","mean",2.45780832817676,18.0665,30,3.71235828035386,13.32125,29.8525,0.972247525427869,95.417625,1908.3525
"0.25","0.25","one2one","same","97.5%","var",0.00199308470378507,0.0892743055555556,0,0.0238108877468922,0.114241666666667,1.45527777777778,0.000718920406434698,8.60109444444443,3440.43777777777
"0.25","0.25","one2one","same","mean","mean",1.94820345743092,15.5601,29.996,2.78906795423905,10.21775,27.9,0.929396122203191,92.93115,1858.623
"0.25","0.25","one2one","same","mean","var",0.000773301593682301,0.045155,0.00333333333333333,0.00760529870329099,0.0533186111111111,0.486444444444444,0.000174692494254662,1.82443083333333,729.772333333333
"0.25","0.25","one2one","same","var","mean",0.0437656192034873,2.34401867676768,0.000993939393939401,0.166006828058218,2.48193503787879,2.1820202020202,0.0022377209536165,8.94286810858586,3577.14724343434
"0.25","0.25","one2one","same","var","var",2.50067812371245e-07,0.000362654697904976,0.00063973063973064,3.26124483465443e-05,0.000657741293412521,0.155756528245417,8.02237093754544e-08,8.95052739798439,1432084.3836775
"0.25","0.5","many2many","all","2.5%","mean",3.19363746740551,4.96125,26.385,1.44814312229338,3.49375,9.9475,0.753966234665036,68.713,1374.26
"0.25","0.5","many2many","all","2.5%","var",0.00314860068214587,0.00984166666666665,0,0.00040764101145254,0.00447499999999999,0,5.47305932625366e-05,0.101416666666667,40.5666666666667
"0.25","0.5","many2many","all","50%","mean",4.09277839242431,7.0425,29.5,1.95041765693077,5.1175,10,0.923849917363204,84.6175,1692.35
"0.25","0.5","many2many","all","50%","var",0.0102597316563222,0.0289583333333333,0.222222222222222,0.0025468649480447,0.0165555555555555,0,0.00027733856018935,4.99090277777777,1996.36111111111
"0.25","0.5","many2many","all","97.5%","mean",5.88450927047206,9.087875,30,2.86799770564422,6.90825,10,0.964170172817854,95.27025,1905.405
"0.25","0.5","many2many","all","97.5%","var",0.0459086174687783,0.08505,1.02972222222222,0.0161292928176191,0.04134375,0.0524999999999992,0.00193019227066885,20.6837256944444,8273.49027777778
"0.25","0.5","many2many","all","mean","mean",4.15008816049756,7.2303,29.171,1.99883100581743,5.15415,9.986,0.911342486083723,83.04015,1660.803
"0.25","0.5","many2many","all","mean","var",0.0146635094242482,0.0334983333333333,0.288555555555556,0.00376438203473436,0.0179013888888889,0.00555555555555556,0.000437730526053808,5.55542805555556,2222.17122222222
"0.25","0.5","many2many","all","var","mean",0.512099596104925,1.46827617171717,0.97379696969697,0.134275655341986,0.770701037878788,0.0088929292929293,0.00256183769022073,55.8412780075758,22336.5112030303
"0.25","0.5","many2many","all","var","var",0.000132654332499359,0.000339537268050879,0.0912893253522883,2.05664051280735e-05,8.80691541183439e-05,0.00116847487217858,1.97148592602719e-07,28.0037159494497,4480594.55191195
"0.25","0.5","many2many","none","2.5%","mean",1.0754791086477,26.922375,30,1,9.79975,10,-0.0494017815738333,95.041875,1900.8375
"0.25","0.5","many2many","none","2.5%","var",5.76493415819872e-05,0.0362777777777777,0,0,0,0,0.0379471733948357,0.0694326388888885,27.7730555555556
"0.25","0.5","many2many","none","50%","mean",1.09592658198817,27.38,30,1.00100502512563,9.99,10,0.0118629700811714,95.265,1905.3
"0.25","0.5","many2many","none","50%","var",0.000144267668359121,0.0883333333333331,0,4.48922445841739e-06,0.000444444444444457,0,0.059209934238503,0.205236111111112,82.0944444444444
"0.25","0.5","many2many","none","97.5%","mean",1.11447188429635,27.898125,30,1.02051429719076,10,10,0.224317611192228,95.47025,1909.405
"0.25","0.5","many2many","none","97.5%","var",0.000356179505295771,0.206313194444445,0,7.51315871059794e-05,0.00703680555555553,0,0.0729612669995466,0.47854513888889,191.418055555555
"0.25","0.5","many2many","none","mean","mean",1.09613184798493,27.37495,30,1.00259975379741,9.9744,10,0.0444926076444478,95.2609,1905.218
"0.25","0.5","many2many","none","mean","var",0.000160146383309671,0.0992519444444444,0,1.12392977944982e-05,0.00107444444444445,0,0.0562014234822514,0.219438888888889,87.7755555555556
"0.25","0.5","many2many","none","var","mean",0.000120839618617171,0.0743921691919192,0,2.40501244157e-05,0.00228549494949495,0,0.0136555718796517,0.0163294848484849,6.53179393939397
"0.25","0.5","many2many","none","var","var",5.38310494757058e-09,0.00190415473025003,0,3.64541173344709e-10,3.09983913206134e-06,0,0.000242386687238958,0.00973144827908719,1557.03172465395
"0.25","0.5","many2many","opposite","2.5%","mean",1.71703773468516,11.302375,29.9,1.13694153158835,6.1895,10,0.025656168966008,83.80375,1676.075
"0.25","0.5","many2many","opposite","2.5%","var",0.000420646863826549,0.0181909722222222,0,0.000119976401885907,0.00486111111111112,0,0.000294694035957901,0.0839965277777776,33.5986111111111
"0.25","0.5","many2many","opposite","50%","mean",2.08269356591903,14.3825,30,1.33096122800141,7.515,10,0.581956116299372,94.1,1882
"0.25","0.5","many2many","opposite","50%","var",0.00115962819537206,0.0547916666666667,0,0.000489266330976437,0.0150555555555556,0,0.0024316830058809,0.292680555555557,117.072222222222
"0.25","0.5","many2many","opposite","97.5%","mean",2.65604735432571,17.47825,30,1.61621586429145,8.797,10,0.869449175073072,95.50025,1910.005
"0.25","0.5","many2many","opposite","97.5%","var",0.00347788412301734,0.123022222222222,0.1,0.0018534586144492,0.0368729166666666,0,0.0154044426880748,12.9262298611111,5170.49194444443
"0.25","0.5","many2many","opposite","mean","mean",2.11675967424786,14.3392,29.974,1.34648157677345,7.50325,10,0.544180718541848,92.3013,1846.026
"0.25","0.5","many2many","opposite","mean","var",0.00136779015296768,0.058995,0.0106666666666667,0.000610483349884022,0.0165530555555556,0,0.00372630925224674,2.44637555555556,978.550222222222
"0.25","0.5","many2many","opposite","var","mean",0.0593897390359169,2.44803319191919,0.0300242424242424,0.0186952529431677,0.555968876262626,0,0.0462399051612386,13.5453791010101,5418.15164040404
"0.25","0.5","many2many","opposite","var","var",8.34168484733205e-07,0.000837345918755455,0.00159102132435466,2.4163903808824e-07,7.81279631967826e-05,0,1.89907268487711e-05,18.8554851251166,3016877.62001866
"0.25","0.5","many2many","same","2.5%","mean",1.79771067835346,11.294875,29.9,1.10708063776308,6.1165,10,0.668335664520784,83.453,1669.06
"0.25","0.5","many2many","same","2.5%","var",0.000351067710022411,0.018904861111111,0,6.26371981270641e-05,0.00300347222222224,0,4.03370118092188e-05,0.0696201388888895,27.8480555555556
"0.25","0.5","many2many","same","50%","mean",2.11200328969485,14.2075,30,1.26919003191747,7.88,10,0.911930716361432,92.55,1851
"0.25","0.5","many2many","same","50%","var",0.00112646319012931,0.0514027777777778,0,0.000294524724834897,0.0105277777777778,0,0.000356328408074914,0.33888888888889,135.555555555556
"0.25","0.5","many2many","same","97.5%","mean",2.65287313198782,16.697,30,1.63781386736714,9.034,10,0.964844379245837,95.455,1909.1
"0.25","0.5","many2many","same","97.5%","var",0.00411606762799805,0.132310416666666,0.1,0.00130298347610814,0.0284972222222222,0,0.00720305120489329,10.8151972222222,4326.07888888889
"0.25","0.5","many2many","same","mean","mean",2.16168200085837,14.0399,29.984,1.29201284640507,7.8181,9.999,0.881156426705109,92.09215,1841.843
"0.25","0.5","many2many","same","mean","var",0.00144549468962043,0.0572194444444444,0.006,0.000403889482843161,0.0119833333333333,0.001,0.00107338436004674,2.44640194444444,978.560777777778
"0.25","0.5","many2many","same","var","mean",0.0607499049832717,2.2245408989899,0.0124686868686869,0.0182792719256432,0.571431707070707,9.99999999999993e-05,0.0114253409602525,13.3308021489899,5332.32085959596
"0.25","0.5","many2many","same","var","var",9.62670842756182e-07,0.00082572385116598,0.00056969696969697,3.37033193622325e-07,6.53183065220102e-05,1e-04,1.48554273232523e-05,10.5451539882538,1687224.6381206
"0.25","0.5","one2many","all","2.5%","mean",2.91230983268366,5.426625,26.9175,1.82328534143688,2.643375,9,0.859155711284806,72.37625,1447.525
"0.25","0.5","one2many","all","2.5%","var",0.00194487487467472,0.01080625,0,0.00108031589665186,0.00522569444444444,0,1.70577284545831e-05,0.114361111111111,45.7444444444444
"0.25","0.5","one2many","all","50%","mean",3.88724202287878,7.65,29.9,2.50565081462517,3.905,10,0.946811608143622,85.0125,1700.25
"0.25","0.5","one2many","all","50%","var",0.00821001768196399,0.0275694444444444,0.05,0.00692411008522033,0.0145833333333333,0,0.000169109520359849,3.91923611111111,1567.69444444444
"0.25","0.5","one2many","all","97.5%","mean",5.50722403554245,10.310375,30,3.66515707944211,5.4315,10,0.971916752372383,94.997875,1899.9575
