"o","mra","mrb","stat","summary","env","measure","cor_a","cor_b"
"0.1","1","10","var","mean",1,"S",0.0588673621492006,0.190568877282872
"0.1","1","10","var","mean",2,"jaccard",0.00235805346703292,0.0314418303680844
"0.1","1","10","var","mean",2,"N",0.00568797932529246,0.00568797932529246
"0.1","1","10","var","mean",2,"rda",0.00358043956961697,0.00481120701726319
"0.1","1","10","var","mean",2,"S",0.196345872689776,0.106596083521878
"0.1","1","10","var","var",1,"jaccard",1.4810715868238e-06,2.65402961224529e-06
"0.1","1","10","var","var",1,"N",0.0006923904952433,0.0006923904952433
"0.1","1","10","var","var",1,"rda",8.17998856884748e-09,9.40204009254026e-07
"0.1","1","10","var","var",1,"S",8.72878659046278e-06,2.81213733030892e-05
"0.1","1","10","var","var",2,"jaccard",2.82067149078784e-07,4.38249503634802e-06
"0.1","1","10","var","var",2,"N",0.000624837050445959,0.000624837050445959
"0.1","1","10","var","var",2,"rda",1.20405634229312e-07,2.47965712863495e-07
"0.1","1","10","var","var",2,"S",3.36760651383858e-06,1.17628401219067e-05
"0.1","1","20","2.5%","mean",1,"jaccard",-0.198934531586787,0.362338644027781
"0.1","1","20","2.5%","mean",1,"N",-0.155615792694624,-0.155615792694624
"0.1","1","20","2.5%","mean",1,"rda",0.019105811896763,0.171274140530751
"0.1","1","20","2.5%","mean",1,"S",-0.441155655466886,-0.705981080438215
"0.1","1","20","2.5%","mean",2,"jaccard",0.727583993047146,-0.130983294450714
"0.1","1","20","2.5%","mean",2,"N",-0.10795367346335,-0.10795367346335
"0.1","1","20","2.5%","mean",2,"rda",0.222327394171273,0.03259615854491
"0.1","1","20","2.5%","mean",2,"S",-0.741730249217822,-0.46955822131462
"0.1","1","20","2.5%","var",1,"jaccard",0.000255443750092549,0.000231827169016731
"0.1","1","20","2.5%","var",1,"N",0.0211373277674987,0.0211373277674987
"0.1","1","20","2.5%","var",1,"rda",1.83594407854225e-05,0.00027885240281273
"0.1","1","20","2.5%","var",1,"S",0.000694599911178091,0.000481921619862926
"0.1","1","20","2.5%","var",2,"jaccard",7.47515858209947e-05,0.00043111129197977
"0.1","1","20","2.5%","var",2,"N",0.0188341832746963,0.0188341832746963
"0.1","1","20","2.5%","var",2,"rda",0.000167703389201347,0.000112885216297405
"0.1","1","20","2.5%","var",2,"S",0.000630862863655768,0.000965548301368397
"0.1","1","20","50%","mean",1,"jaccard",-0.0218750306977381,0.696880227502486
"0.1","1","20","50%","mean",1,"N",0.00362508484124691,0.00362508484124691
"0.1","1","20","50%","mean",1,"rda",0.0448440760669658,0.297292309310668
"0.1","1","20","50%","mean",1,"S",0.00238006310892089,-0.0611956852879266
"0.1","1","20","50%","mean",2,"jaccard",0.847326594383151,0.203837807528921
"0.1","1","20","50%","mean",2,"N",0.0151365987072217,0.0151365987072217
"0.1","1","20","50%","mean",2,"rda",0.349441587110979,0.0987311956293826
"0.1","1","20","50%","mean",2,"S",0.0965449237605362,0.0617832099935221
"0.1","1","20","50%","var",1,"jaccard",0.00117749705937671,0.00116439056494617
"0.1","1","20","50%","var",1,"N",0.0557373756709315,0.0557373756709315
"0.1","1","20","50%","var",1,"rda",7.80884778690202e-05,0.00132007923427612
"0.1","1","20","50%","var",1,"S",0.00248597817007697,0.00389585277338645
"0.1","1","20","50%","var",2,"jaccard",0.000387498974675004,0.00177111966035788
"0.1","1","20","50%","var",2,"N",0.0504239907065835,0.0504239907065835
"0.1","1","20","50%","var",2,"rda",0.000646164482434175,0.000489409979208565
"0.1","1","20","50%","var",2,"S",0.00252939996428478,0.00395545648991212
"0.1","1","20","97.5%","mean",1,"jaccard",0.340976904003898,0.858228085858873
"0.1","1","20","97.5%","mean",1,"N",0.109729972945135,0.109729972945135
"0.1","1","20","97.5%","mean",1,"rda",0.138285756215633,0.508025649552319
"0.1","1","20","97.5%","mean",1,"S",0.451984902791305,0.797042565444566
"0.1","1","20","97.5%","mean",2,"jaccard",0.930360410344771,0.626937296412616
"0.1","1","20","97.5%","mean",2,"N",0.153070485208541,0.153070485208541
"0.1","1","20","97.5%","mean",2,"rda",0.501166813876547,0.247666316330124
"0.1","1","20","97.5%","mean",2,"S",0.716523655532631,0.61399203664547
"0.1","1","20","97.5%","var",1,"jaccard",0.00459065673762017,0.00657542984321013
"0.1","1","20","97.5%","var",1,"N",0.100603528785891,0.100603528785891
"0.1","1","20","97.5%","var",1,"rda",0.000309595901862674,0.00557315805989628
"0.1","1","20","97.5%","var",1,"S",0.0100526138791886,0.0162628536190635
"0.1","1","20","97.5%","var",2,"jaccard",0.00153963033044402,0.0107846836904605
"0.1","1","20","97.5%","var",2,"N",0.110415673392687,0.110415673392687
"0.1","1","20","97.5%","var",2,"rda",0.00145753262123188,0.00191821846254237
"0.1","1","20","97.5%","var",2,"S",0.00788575519806528,0.0134477131574853
"0.1","1","20","mean","mean",1,"jaccard",0.00659572319845058,0.66357506091894
"0.1","1","20","mean","mean",1,"N",-0.0060311370627324,-0.0060311370627324
"0.1","1","20","mean","mean",1,"rda",0.0517545214288113,0.321181949516777
"0.1","1","20","mean","mean",1,"S",-0.0112040362073098,-0.0606069340220553
"0.1","1","20","mean","mean",2,"jaccard",0.844359867161087,0.218503464004162
"0.1","1","20","mean","mean",2,"N",0.0125708833462502,0.0125708833462502
"0.1","1","20","mean","mean",2,"rda",0.356010362427069,0.114275079790728
"0.1","1","20","mean","mean",2,"S",0.0339522421279499,0.0336275661073282
"0.1","1","20","mean","var",1,"jaccard",0.0014647366504501,0.00182528073715073
"0.1","1","20","mean","var",1,"N",0.0557822283237998,0.0557822283237998
"0.1","1","20","mean","var",1,"rda",0.000104492294697649,0.00160003199338011
"0.1","1","20","mean","var",1,"S",0.00318302540382849,0.00510726999226705
"0.1","1","20","mean","var",2,"jaccard",0.000482933410543301,0.00279366101304014
"0.1","1","20","mean","var",2,"N",0.0541381626619484,0.0541381626619484
"0.1","1","20","mean","var",2,"rda",0.000681053498824439,0.000691942947810364
"0.1","1","20","mean","var",2,"S",0.0028724061946146,0.00495263451484522
"0.1","1","20","var","mean",1,"jaccard",0.0230158609489351,0.0201477265415963
"0.1","1","20","var","mean",1,"N",0.00586688431107261,0.00586688431107261
"0.1","1","20","var","mean",1,"rda",0.000915946530739448,0.0101559691397837
"0.1","1","20","var","mean",1,"S",0.047148422181295,0.156093715197587
"0.1","1","20","var","mean",2,"jaccard",0.0029937594673481,0.0400118465027832
"0.1","1","20","var","mean",2,"N",0.00413563361382769,0.00413563361382769
"0.1","1","20","var","mean",2,"rda",0.00513913916815401,0.00348255081001585
"0.1","1","20","var","mean",2,"S",0.165609468450093,0.0883314855372156
"0.1","1","20","var","var",1,"jaccard",1.15099055411702e-06,2.86553754057547e-06
"0.1","1","20","var","var",1,"N",0.000504820198655718,0.000504820198655718
"0.1","1","20","var","var",1,"rda",9.78720100924264e-09,1.41865090404304e-06
"0.1","1","20","var","var",1,"S",5.56124162765109e-06,1.74455528175101e-05
"0.1","1","20","var","var",2,"jaccard",1.44417000560241e-07,6.7581901589163e-06
"0.1","1","20","var","var",2,"N",0.000622384923279809,0.000622384923279809
"0.1","1","20","var","var",2,"rda",1.29037990494973e-07,7.69726917738558e-07
"0.1","1","20","var","var",2,"S",3.9501839611127e-06,1.29241178910915e-05
"0.1","10","1","2.5%","mean",1,"jaccard",-0.202570297309017,0.3152412664967
"0.1","10","1","2.5%","mean",1,"N",-0.195588569548572,-0.195588569548572
"0.1","10","1","2.5%","mean",1,"rda",0.0205994736749616,0.149772590799721
"0.1","10","1","2.5%","mean",1,"S",-0.415092256227472,-0.786602920645968
"0.1","10","1","2.5%","mean",2,"jaccard",0.82388754390239,-0.0651384905072476
"0.1","10","1","2.5%","mean",2,"N",-0.160934178085781,-0.160934178085781
"0.1","10","1","2.5%","mean",2,"rda",0.255983547751932,0.0406039239531164
"0.1","10","1","2.5%","mean",2,"S",-0.685660150510871,-0.558015259312632
"0.1","10","1","2.5%","var",1,"jaccard",0.000199834747541399,0.000131073998778
"0.1","10","1","2.5%","var",1,"N",0.0153248449947143,0.0153248449947143
"0.1","10","1","2.5%","var",1,"rda",1.36160674237777e-05,0.000203926553180846
"0.1","10","1","2.5%","var",1,"S",0.000605498977459408,0.000600369159007747
"0.1","10","1","2.5%","var",2,"jaccard",6.56470560157702e-05,0.000633075950337683
"0.1","10","1","2.5%","var",2,"N",0.0150650626853391,0.0150650626853391
"0.1","10","1","2.5%","var",2,"rda",0.00022928391969418,0.000117493627970891
"0.1","10","1","2.5%","var",2,"S",0.000487127969745609,0.00087141268802615
"0.1","10","1","50%","mean",1,"jaccard",-0.0134128681785748,0.672787942526201
"0.1","10","1","50%","mean",1,"N",-0.00463318336653889,-0.00463318336653889
"0.1","10","1","50%","mean",1,"rda",0.0456618628222557,0.275871106731339
"0.1","10","1","50%","mean",1,"S",-0.0519860646271639,-0.0826494927899891
"0.1","10","1","50%","mean",2,"jaccard",0.896079156888137,0.251801459476157
"0.1","10","1","50%","mean",2,"N",0.015355799216299,0.015355799216299
"0.1","10","1","50%","mean",2,"rda",0.380406521461655,0.123122991835833
"0.1","10","1","50%","mean",2,"S",-0.0941620501236946,-0.0317229024115443
"0.1","10","1","50%","var",1,"jaccard",0.00101941783261562,0.00123952384016079
"0.1","10","1","50%","var",1,"N",0.0449786607164683,0.0449786607164683
"0.1","10","1","50%","var",1,"rda",8.68979249922746e-05,0.00115373876182682
"0.1","10","1","50%","var",1,"S",0.00249243215916297,0.00360026420829768
"0.1","10","1","50%","var",2,"jaccard",0.000244565986436935,0.00206709693540293
"0.1","10","1","50%","var",2,"N",0.0447029912947472,0.0447029912947472
"0.1","10","1","50%","var",2,"rda",0.00058353214329177,0.000553703716339805
"0.1","10","1","50%","var",2,"S",0.00248031449510088,0.00371351932247355
"0.1","10","1","97.5%","mean",1,"jaccard",0.20738096438291,0.847158165992007
"0.1","10","1","97.5%","mean",1,"N",0.134184976196947,0.134184976196947
"0.1","10","1","97.5%","mean",1,"rda",0.126180776631524,0.513240583244696
"0.1","10","1","97.5%","mean",1,"S",0.373817240627127,0.758591622064896
"0.1","10","1","97.5%","mean",2,"jaccard",0.947271141792426,0.618255113512757
"0.1","10","1","97.5%","mean",2,"N",0.132421331702512,0.132421331702512
"0.1","10","1","97.5%","mean",2,"rda",0.505062561292333,0.320207474385268
"0.1","10","1","97.5%","mean",2,"S",0.683475950367187,0.405408279089175
