"o","mra","mrb","stat","summary","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","Cor_ab","N","Ntot"
"0.2","1","1","2.5%","mean",1.13075174374887,22.110875,30,1.10374830858746,6.76575,10,-0.133225813790391,94.761375,1895.2275
"0.2","1","1","2.5%","var",6.14886867481251e-05,0.0238666666666667,0,5.89017715846221e-05,0.00340069444444445,0,0.00114077810961163,0.0726534722222224,29.0613888888889
"0.2","1","1","50%","mean",1.23400516773641,24.3125,30,1.24866438456633,8.01,10,0.332720774698565,95.22,1904.4
"0.2","1","1","50%","var",0.000141798072261646,0.053625,0,0.000272000609098738,0.01075,0,0.00529562475788436,0.211861111111111,84.7444444444444
"0.2","1","1","97.5%","mean",1.35689399863323,26.5325,30,1.47855657877345,9.06175,10,0.671713599166112,95.522875,1910.4575
"0.2","1","1","97.5%","var",0.000379721801945991,0.134166666666667,0,0.000857253495755281,0.0284048611111111,0,0.0252003319980608,0.468616666666666,187.446666666667
"0.2","1","1","mean","mean",1.23119767443063,24.4312,30,1.25896959350457,7.99465,10,0.314190902336772,95.17105,1903.421
"0.2","1","1","mean","var",0.000157829300491852,0.0612444444444444,0,0.000314037019029052,0.0117958333333333,0,0.00747207558478151,0.242048611111111,96.8194444444444
"0.2","1","1","var","mean",0.00395441313012528,1.52933490909091,0,0.0103780856840085,0.397942047979798,0,0.0598417899519313,0.25175822979798,100.703291919192
"0.2","1","1","var","var",7.14438326189975e-09,0.000899379785509415,0,3.96670175877217e-08,3.70095924523009e-05,0,3.72018401776158e-05,0.0410011937020668,6560.19099233071
"0.2","1","10","2.5%","mean",1.14119355356581,21.90425,30,1.11675226779337,6.801125,10,-0.0759945341310524,91.505125,1830.1025
"0.2","1","10","2.5%","var",4.77944294647845e-05,0.0178965277777777,0,7.36758210630879e-05,0.00396944444444443,0,0.00124970843677687,0.063119444444445,25.2477777777778
"0.2","1","10","50%","mean",1.22421937990017,24.5075,30,1.23480850646148,8.1,10,0.378684659046768,95.2125,1904.25
"0.2","1","10","50%","var",0.000145045503103771,0.0572222222222222,0,0.000266363016744676,0.0123333333333333,0,0.00519355494980757,0.212444444444445,84.9777777777778
"0.2","1","10","97.5%","mean",1.36967939430892,26.291,30,1.47089534435377,8.95525,10,0.809870210211159,95.54075,1910.815
"0.2","1","10","97.5%","var",0.00037345233485258,0.13048125,0,0.000949550472843441,0.0271194444444444,0,0.016961505423429,3.29950833333332,1319.80333333333
"0.2","1","10","mean","mean",1.23528571986893,24.34595,30,1.25234512021948,8.0349,10,0.366679163948257,94.995,1899.9
"0.2","1","10","mean","var",0.000153874827152925,0.0595230555555556,0,0.000345994796408973,0.0130816666666667,0,0.00629642547009707,0.400673888888889,160.269555555556
"0.2","1","10","var","mean",0.00374438686022463,1.39879833080808,0,0.0101537957842727,0.372316656565657,0,0.0624456930609278,1.2861601010101,514.46404040404
"0.2","1","10","var","var",6.89056908134138e-09,0.00100700141936339,0,5.42518753461797e-08,4.20308769796731e-05,0,2.33510609721972e-05,0.568778137074759,91004.5019319616
"0.2","1","20","2.5%","mean",1.12385115562692,21.960625,30,1.09175355893,6.90475,10,-0.161488112546956,94.9095,1898.19
"0.2","1","20","2.5%","var",2.9179056338869e-05,0.0124756944444445,0,8.32021259283643e-05,0.00309444444444445,0,0.000857360493141606,0.049997222222223,19.9988888888889
"0.2","1","20","50%","mean",1.22554461605919,24.48,30,1.24286385548072,8.0475,10,0.371401069376621,95.2125,1904.25
"0.2","1","20","50%","var",0.000112253136887244,0.0444444444444446,0,0.00027443059811503,0.0118472222222222,0,0.0055650924982311,0.21973611111111,87.8944444444444
