"topo","envfilt","stat","summary","env","measure","time","cor_a","cor_b"
"many2many","all","mean","var",1,"S","T8000",0.00193122163293884,0.00286785987397002
"many2many","all","mean","var",2,"jaccard","T1000",0.00126782962007139,0.00190500492691375
"many2many","all","mean","var",2,"jaccard","T2000",0.00117170926050465,0.00174627241560568
"many2many","all","mean","var",2,"jaccard","T4000",0.00125651264652082,0.00162141887239132
"many2many","all","mean","var",2,"jaccard","T8000",0.00119867910585688,0.00169835863612133
"many2many","all","mean","var",2,"N","T1000",0.0300398494112624,0.0300398494112624
"many2many","all","mean","var",2,"N","T2000",0.0359314537079697,0.0359314537079697
"many2many","all","mean","var",2,"N","T4000",0.0359934840664566,0.0359934840664566
"many2many","all","mean","var",2,"N","T8000",0.0344331838706928,0.0344331838706928
"many2many","all","mean","var",2,"rda","T1000",0.000362163001738932,0.000854108629258982
"many2many","all","mean","var",2,"rda","T2000",0.000353271458949878,0.00083152716398089
"many2many","all","mean","var",2,"rda","T4000",0.000327687508389001,0.000773292833880723
"many2many","all","mean","var",2,"rda","T8000",0.000325618847307988,0.000846015602470491
"many2many","all","mean","var",2,"S","T1000",0.00151550994117036,0.00223940620642335
"many2many","all","mean","var",2,"S","T2000",0.00178145233234383,0.00256259177542254
"many2many","all","mean","var",2,"S","T4000",0.0019180755749113,0.0025004024462461
"many2many","all","mean","var",2,"S","T8000",0.00186415296241016,0.00288651036136968
"many2many","all","var","mean",1,"jaccard","T1000",0.0229808479575325,0.0268030120292586
"many2many","all","var","mean",1,"jaccard","T2000",0.0210568994748636,0.027113149436674
"many2many","all","var","mean",1,"jaccard","T4000",0.0203631114701127,0.0262934226629419
"many2many","all","var","mean",1,"jaccard","T8000",0.0199039573266163,0.0253250838846788
"many2many","all","var","mean",1,"N","T1000",0.104279500718059,0.104279500718059
"many2many","all","var","mean",1,"N","T2000",0.100444658401013,0.100444658401013
"many2many","all","var","mean",1,"N","T4000",0.0936682394499814,0.0936682394499814
"many2many","all","var","mean",1,"N","T8000",0.0895271058180139,0.0895271058180139
"many2many","all","var","mean",1,"rda","T1000",0.00205547344331628,0.00433091204607454
"many2many","all","var","mean",1,"rda","T2000",0.00205698504189062,0.00452298488748913
"many2many","all","var","mean",1,"rda","T4000",0.00199750624292923,0.00474568454508614
"many2many","all","var","mean",1,"rda","T8000",0.00195871875018055,0.00484592702697905
"many2many","all","var","mean",1,"S","T1000",0.0901554052537231,0.101052064218034
"many2many","all","var","mean",1,"S","T2000",0.0899111563249571,0.102431101064978
"many2many","all","var","mean",1,"S","T4000",0.0893404478470981,0.104878736344083
"many2many","all","var","mean",1,"S","T8000",0.0878398232620741,0.107727383139016
