"o","topo","envfilt","stat","summary","env","measure","cor_a","cor_b"
"0","many2many","none","mean","var",1,"rda",0.000345323741815958,0.00948785544978467
"0","many2many","none","var","var",1,"rda",3.01738848373828e-08,3.574663082635e-05
"0","many2many","none","2.5%","mean",1,"S",-0.146736208672128,-0.0534508630678128
"0","many2many","none","50%","mean",1,"S",-0.00735925443502283,0.0249425417952929
"0","many2many","none","97.5%","mean",1,"S",0.151757633948388,0.0506184425137862
"0","many2many","none","mean","mean",1,"S",-0.00171548506854621,0.00644517191999029
"0","many2many","none","var","mean",1,"S",0.00750038947456767,0.00325673096361458
"0","many2many","none","2.5%","var",1,"S",0.0181024978758278,0.0612645851593567
"0","many2many","none","50%","var",1,"S",0.0492092919850817,0.0756522595392426
"0","many2many","none","97.5%","var",1,"S",0.0990195615048484,0.109927915805888
"0","many2many","none","mean","var",1,"S",0.052003021230432,0.0826304987977546
"0","many2many","none","var","var",1,"S",0.000525570001390802,0.000692510717670259
"0","many2many","none","2.5%","mean",2,"jaccard",-0.0715760742247548,-0.0385663925868816
"0","many2many","none","50%","mean",2,"jaccard",-0.00281110465758903,0.0385032367998054
"0","many2many","none","97.5%","mean",2,"jaccard",0.0927284259080629,0.065154019397558
"0","many2many","none","mean","mean",2,"jaccard",-0.00152749768035258,0.0208124133650916
"0","many2many","none","var","mean",2,"jaccard",0.00183532520635933,0.00321475823621345
"0","many2many","none","2.5%","var",2,"jaccard",0.00629925525405243,0.00931513674728268
"0","many2many","none","50%","var",2,"jaccard",0.0156337736499564,0.0203981281654704
"0","many2many","none","97.5%","var",2,"jaccard",0.038612315836499,0.0215359948417097
"0","many2many","none","mean","var",2,"jaccard",0.0171165877266063,0.0169086107121552
"0","many2many","none","var","var",2,"jaccard",7.41384505283439e-05,5.05035663735257e-05
"0","many2many","none","2.5%","mean",2,"N",-0.127237715820672,-0.127237715820672
"0","many2many","none","50%","mean",2,"N",-0.00599407511606062,-0.00599407511606062
"0","many2many","none","97.5%","mean",2,"N",0.130388123915781,0.130388123915781
"0","many2many","none","mean","mean",2,"N",-0.00235363202015249,-0.00235363202015249
"0","many2many","none","var","mean",2,"N",0.00462832194140204,0.00462832194140204
"0","many2many","none","2.5%","var",2,"N",0.0174980515485414,0.0174980515485414
"0","many2many","none","50%","var",2,"N",0.0449741819483584,0.0449741819483584
"0","many2many","none","97.5%","var",2,"N",0.0958867717139819,0.0958867717139819
"0","many2many","none","mean","var",2,"N",0.0488122075167757,0.0488122075167757
"0","many2many","none","var","var",2,"N",0.000527027353881472,0.000527027353881472
"0","many2many","none","2.5%","mean",2,"rda",0.041361149637717,0.0391115400457043
"0","many2many","none","50%","mean",2,"rda",0.0519770263754042,0.0599253198197374
"0","many2many","none","97.5%","mean",2,"rda",0.0641107120046332,0.0863659696524389
"0","many2many","none","mean","mean",2,"rda",0.0522746724679126,0.0618996601912
"0","many2many","none","var","mean",2,"rda",3.43035392721556e-05,0.000621477841092395
"0","many2many","none","2.5%","var",2,"rda",0.00010268887166856,0.00111873294238806
"0","many2many","none","50%","var",2,"rda",0.000305855711822801,0.00317943733503868
"0","many2many","none","97.5%","var",2,"rda",0.000753457001428013,0.00797179247866944
"0","many2many","none","mean","var",2,"rda",0.000355075628911978,0.00413791128275101
"0","many2many","none","var","var",2,"rda",4.96762225532142e-08,1.36985402445782e-05
"0","many2many","none","2.5%","mean",2,"S",-0.161009350517917,-0.0790119088151721
"0","many2many","none","50%","mean",2,"S",0.00497852810316522,-0.0583593115296064
"0","many2many","none","97.5%","mean",2,"S",0.120187999809207,0.0132256326152512
"0","many2many","none","mean","mean",2,"S",0.00245419460080441,-0.0404883126316092
"0","many2many","none","var","mean",2,"S",0.00499230592111055,0.00259625079445821
"0","many2many","none","2.5%","var",2,"S",0.0203461112974123,0.0427816621691743
"0","many2many","none","50%","var",2,"S",0.0480051487766947,0.059167872871078
"0","many2many","none","97.5%","var",2,"S",0.101960003902092,0.111141102305494
"0","many2many","none","mean","var",2,"S",0.0521738279852479,0.0716545461105559
"0","many2many","none","var","var",2,"S",0.000563648074072755,0.00141140120678866
"0","many2many","opposite","2.5%","mean",1,"jaccard",-0.151577720336338,-0.161491876581917
"0","many2many","opposite","50%","mean",1,"jaccard",-0.0263596438134199,-0.0488188206118195
"0","many2many","opposite","97.5%","mean",1,"jaccard",0.243171017619325,0.215914260026497
"0","many2many","opposite","mean","mean",1,"jaccard",-0.00490611972065784,-0.0249845168620947
"0","many2many","opposite","var","mean",1,"jaccard",0.0123588548766922,0.00997623265956215
"0","many2many","opposite","2.5%","var",1,"jaccard",0.000314559995305067,4.80725782562796e-05
"0","many2many","opposite","50%","var",1,"jaccard",0.00135414652413923,0.00185992094573023
"0","many2many","opposite","97.5%","var",1,"jaccard",0.00377953811669453,0.0203395562308097
"0","many2many","opposite","mean","var",1,"jaccard",0.0016105350092224,0.0050381963431433
"0","many2many","opposite","var","var",1,"jaccard",1.20752269091529e-06,6.560950405184e-05
"0","many2many","opposite","2.5%","mean",1,"N",-0.114110641278586,-0.114110641278586
"0","many2many","opposite","50%","mean",1,"N",-0.00383031789392906,-0.00383031789392906
"0","many2many","opposite","97.5%","mean",1,"N",0.138601201059654,0.138601201059654
"0","many2many","opposite","mean","mean",1,"N",0.00231180354725595,0.00231180354725595
"0","many2many","opposite","var","mean",1,"N",0.00529529704096175,0.00529529704096175
"0","many2many","opposite","2.5%","var",1,"N",0.0220002160251631,0.0220002160251631
"0","many2many","opposite","50%","var",1,"N",0.0544449129128806,0.0544449129128806
"0","many2many","opposite","97.5%","var",1,"N",0.0968637048329259,0.0968637048329259
"0","many2many","opposite","mean","var",1,"N",0.0541468613118371,0.0541468613118371
"0","many2many","opposite","var","var",1,"N",0.00046184436202184,0.00046184436202184
"0","many2many","opposite","2.5%","mean",1,"rda",0.0249042211821079,0.00656522806484008
"0","many2many","opposite","50%","mean",1,"rda",0.0444160427486478,0.0338166553281455
"0","many2many","opposite","97.5%","mean",1,"rda",0.10355821996585,0.130951003860357
"0","many2many","opposite","mean","mean",1,"rda",0.0516668216491957,0.0446434365092065
"0","many2many","opposite","var","mean",1,"rda",0.000515840541927741,0.00115835986346272
"0","many2many","opposite","2.5%","var",1,"rda",3.00962181464477e-05,2.33772932631921e-05
"0","many2many","opposite","50%","var",1,"rda",9.72986534378538e-05,0.000430586876448326
"0","many2many","opposite","97.5%","var",1,"rda",0.000353613115472179,0.00659500055001647
"0","many2many","opposite","mean","var",1,"rda",0.000123651388102227,0.00105708042818014
"0","many2many","opposite","var","var",1,"rda",7.45998693723112e-09,3.48742975793982e-06
"0","many2many","opposite","2.5%","mean",1,"S",-0.387322174508133,-0.288102264542166
"0","many2many","opposite","50%","mean",1,"S",-0.0376020418224906,0.0108201451362179
"0","many2many","opposite","97.5%","mean",1,"S",0.449545544912385,0.394682358905811
"0","many2many","opposite","mean","mean",1,"S",-0.00498617333473746,0.03109598688213
"0","many2many","opposite","var","mean",1,"S",0.0531595270104281,0.0318587860844559
"0","many2many","opposite","2.5%","var",1,"S",0.00131417600483854,0.000448100848042722
"0","many2many","opposite","50%","var",1,"S",0.0037822620988107,0.00725462307963218
"0","many2many","opposite","97.5%","var",1,"S",0.0143800311407179,0.0412651911785196
"0","many2many","opposite","mean","var",1,"S",0.00479902995595735,0.0119301180168659
"0","many2many","opposite","var","var",1,"S",1.14462180755974e-05,0.00015441557353294
"0","many2many","opposite","2.5%","mean",2,"jaccard",0.788452663400698,0.0964557707001078
"0","many2many","opposite","50%","mean",2,"jaccard",0.885753066735743,0.496903976450425
"0","many2many","opposite","97.5%","mean",2,"jaccard",0.930433228455159,0.72373725061421
"0","many2many","opposite","mean","mean",2,"jaccard",0.877278788512545,0.493653445112816
"0","many2many","opposite","var","mean",2,"jaccard",0.00147891269036787,0.0293470289135077
"0","many2many","opposite","2.5%","var",2,"jaccard",8.4378529669425e-05,0.000142022251521967
"0","many2many","opposite","50%","var",2,"jaccard",0.000309270439001484,0.00450447504194837
"0","many2many","opposite","97.5%","var",2,"jaccard",0.00131053859090859,0.0274947206716005
"0","many2many","opposite","mean","var",2,"jaccard",0.000463115834398784,0.00690895959437756
"0","many2many","opposite","var","var",2,"jaccard",1.78123360599094e-07,6.40040812869426e-05
"0","many2many","opposite","2.5%","mean",2,"N",-0.142570487638964,-0.142570487638964
