"sigA","sigB","topo","envfilt","stat","summary","env","measure","cor_a","cor_b"
"0.25","0.25","many2many","none","var","mean",1,"S",0.00562264494638631,0.0155622866363747
"0.25","0.25","many2many","none","var","mean",2,"jaccard",0.00164810100710607,3.64077449449567e-05
"0.25","0.25","many2many","none","var","mean",2,"N",0.00447606594600847,0.00447606594600847
"0.25","0.25","many2many","none","var","mean",2,"rda",3.11968618564479e-05,0.000296410378143224
"0.25","0.25","many2many","none","var","mean",2,"S",0.00528054961880833,0.0112848869118331
"0.25","0.25","many2many","none","var","var",1,"jaccard",0.000109320206703583,0.000388995911682132
"0.25","0.25","many2many","none","var","var",1,"N",0.000600303759596252,0.000600303759596252
"0.25","0.25","many2many","none","var","var",1,"rda",3.22948662541482e-08,2.47540253912365e-05
"0.25","0.25","many2many","none","var","var",1,"S",0.00047712635528,0.00027808834094614
"0.25","0.25","many2many","none","var","var",2,"jaccard",8.29644071113439e-05,4.84392886084208e-08
"0.25","0.25","many2many","none","var","var",2,"N",0.000497009591622342,0.000497009591622342
"0.25","0.25","many2many","none","var","var",2,"rda",4.85338100365925e-08,7.64176023491644e-07
"0.25","0.25","many2many","none","var","var",2,"S",0.000571716045175737,0.00030795347166792
"0.25","0.25","many2many","opposite","2.5%","mean",1,"jaccard",-0.1548397393472,0.5656678546277
"0.25","0.25","many2many","opposite","2.5%","mean",1,"N",-0.344963104271424,-0.344963104271424
"0.25","0.25","many2many","opposite","2.5%","mean",1,"rda",0.0175980790519211,0.103866325582892
"0.25","0.25","many2many","opposite","2.5%","mean",1,"S",-0.410699197772252,-0.574761074732737
"0.25","0.25","many2many","opposite","2.5%","mean",2,"jaccard",0.809221294900779,-0.0522261575734725
"0.25","0.25","many2many","opposite","2.5%","mean",2,"N",-0.614956630900851,-0.614956630900851
"0.25","0.25","many2many","opposite","2.5%","mean",2,"rda",0.202244655813993,0.0217200966346412
"0.25","0.25","many2many","opposite","2.5%","mean",2,"S",-0.738531903463261,-0.461635727698207
"0.25","0.25","many2many","opposite","2.5%","var",1,"jaccard",7.89590147237248e-05,7.36738983232203e-05
"0.25","0.25","many2many","opposite","2.5%","var",1,"N",0.000298115876836281,0.000298115876836281
"0.25","0.25","many2many","opposite","2.5%","var",1,"rda",6.49322041155478e-06,4.87819515114005e-05
"0.25","0.25","many2many","opposite","2.5%","var",1,"S",0.00040916751098696,0.000224116591868038
"0.25","0.25","many2many","opposite","2.5%","var",2,"jaccard",2.81379274753824e-05,0.000188204167855863
"0.25","0.25","many2many","opposite","2.5%","var",2,"N",0.000147362719438425,0.000147362719438425
"0.25","0.25","many2many","opposite","2.5%","var",2,"rda",4.88021471742947e-05,2.73825021422009e-05
"0.25","0.25","many2many","opposite","2.5%","var",2,"S",0.00013450544847311,0.000355946606727414
"0.25","0.25","many2many","opposite","50%","mean",1,"jaccard",-0.0114630818448764,0.736842207946583
"0.25","0.25","many2many","opposite","50%","mean",1,"N",0.0032828162534067,0.0032828162534067
"0.25","0.25","many2many","opposite","50%","mean",1,"rda",0.0420630820532627,0.295483061603861
"0.25","0.25","many2many","opposite","50%","mean",1,"S",0.0270011753783969,0.0102849071972882
"0.25","0.25","many2many","opposite","50%","mean",2,"jaccard",0.87380602176793,0.19298706371159
"0.25","0.25","many2many","opposite","50%","mean",2,"N",4.11241488324811e-05,4.11241488324811e-05
"0.25","0.25","many2many","opposite","50%","mean",2,"rda",0.370081906050029,0.0641601102302702
"0.25","0.25","many2many","opposite","50%","mean",2,"S",0.000778118532493627,-0.00237500638773874
"0.25","0.25","many2many","opposite","50%","var",1,"jaccard",0.000364100247736967,0.000438430553282053
"0.25","0.25","many2many","opposite","50%","var",1,"N",0.0376474539759508,0.0376474539759508
"0.25","0.25","many2many","opposite","50%","var",1,"rda",4.08935706378576e-05,0.00048699444432949
"0.25","0.25","many2many","opposite","50%","var",1,"S",0.00141394393813585,0.00137208108622036
"0.25","0.25","many2many","opposite","50%","var",2,"jaccard",8.73891564079127e-05,0.000843399059389354
"0.25","0.25","many2many","opposite","50%","var",2,"N",0.0402443000990513,0.0402443000990513
"0.25","0.25","many2many","opposite","50%","var",2,"rda",0.00024089726496267,0.000151072983578292
"0.25","0.25","many2many","opposite","50%","var",2,"S",0.000789788039269646,0.00187663129561001
"0.25","0.25","many2many","opposite","97.5%","mean",1,"jaccard",0.258405579313979,0.848384056711565
"0.25","0.25","many2many","opposite","97.5%","mean",1,"N",0.27623487121276,0.27623487121276
