"topo","envfilt","stat","summary","time","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","Cor_ab","N","Ntot"
"many2many","none","97.5%","mean","T2000",1.11221574921891,27.9355,30,1.00892584563484,10,10,0.183175636565659,95.603125,1912.0625
"many2many","none","97.5%","mean","T4000",1.11520000073529,27.91575,30,1.0078496132429,10,10,0.206412638301234,95.583375,1911.6675
"many2many","none","97.5%","mean","T8000",1.11257860326274,27.92675,30,1.00764493555007,10,10,0.0278803633318305,95.53575,1910.715
"many2many","none","97.5%","var","T1000",0.000287299640903107,0.174317361111111,0,5.35282362847739e-05,0.00506111111111109,0,0.0562967900675409,0.400739583333332,160.295833333333
"many2many","none","97.5%","var","T2000",0.000300591264301036,0.193369444444444,0,5.20008497142477e-05,0.00480208333333331,0,0.0700865563355694,0.558163194444443,223.265277777778
"many2many","none","97.5%","var","T4000",0.000279993694613542,0.17193125,0,3.79222073456839e-05,0.00364513888888886,0,0.0766859522004528,0.434508333333332,173.803333333333
"many2many","none","97.5%","var","T8000",0.000316639610384696,0.192686111111111,0,5.07975388147195e-05,0.00488055555555551,0,0.0565554949648175,0.424729861111109,169.891944444444
"many2many","none","mean","mean","T1000",1.09268045955686,27.46075,30,1.00199693353306,9.98025,10,0.014901767974305,95.2315,1904.63
"many2many","none","mean","mean","T2000",1.09268519546302,27.46075,30,1.0019760536154,9.98045,10,0.0678543591635573,95.25925,1905.185
"many2many","none","mean","mean","T4000",1.09305605690462,27.4513,30,1.00211938062905,9.97905,10,0.120677461862544,95.2446,1904.892
"many2many","none","mean","mean","T8000",1.09330298657211,27.4456,30,1.00196631963763,9.98055,10,0.0153898780618579,95.2159,1904.318
"many2many","none","mean","var","T1000",0.000148718434250415,0.0934802777777778,0,1.04281322864539e-05,0.00100972222222223,0,0.03063526214687,0.212720555555555,85.0882222222222
"many2many","none","mean","var","T2000",0.000154663887608848,0.0975063888888889,0,8.7865045834732e-06,0.00085305555555556,0,0.0615488198187038,0.243566388888889,97.4265555555556
"many2many","none","mean","var","T4000",0.000132153129072784,0.0829261111111111,0,1.02623384583247e-05,0.000990833333333339,0,0.0596801209612367,0.22611,90.444
"many2many","none","mean","var","T8000",0.000156933785752361,0.0981505555555555,0,9.22147390233381e-06,0.000894166666666672,0,0.0412821281363263,0.231412222222222,92.5648888888889
"many2many","none","var","mean","T1000",9.96125412550587e-05,0.0625047348484848,0,9.01702568108849e-06,0.000867361111111115,0,0.0188652409945385,0.0189992424242423,7.59969696969702
"many2many","none","var","mean","T2000",9.88093559308367e-05,0.0625416035353535,0,9.67322818964724e-06,0.000931866161616159,0,0.0294714615438281,0.0255830176767677,10.2332070707071
"many2many","none","var","mean","T4000",0.000114111129363824,0.0716816262626262,0,1.12328295971319e-05,0.00107257323232323,0,0.0162892420586664,0.0279715555555555,11.1886222222222
"many2many","none","var","mean","T8000",0.000114051762492898,0.0714344848484849,0,9.60199892272064e-06,0.000923684343434339,0,0.00034573345657485,0.0269052424242426,10.762096969697
"many2many","none","var","var","T1000",4.42202746823989e-09,0.00166724871079624,0,2.43249033259798e-10,2.15505946813816e-06,0,0.000576650895931851,0.00974277860113479,1558.84457618157
"many2many","none","var","var","T2000",5.05569100864428e-09,0.00200091926759883,0,1.90813319602571e-10,1.72104213430601e-06,0,0.000161535611814779,0.0144369635224934,2309.91416359895
"many2many","none","var","var","T4000",4.03722298698159e-09,0.00153891768331463,0,3.25367142231646e-10,2.79872887828907e-06,0,0.000640882650718444,0.0106020459521137,1696.3273523382
"many2many","none","var","var","T8000",5.67181488566631e-09,0.00210116373893254,0,1.7235527124424e-10,1.5458239026063e-06,0,0.000516954535795361,0.00933533808330215,1493.65409332835
"many2many","opposite","2.5%","mean","T1000",1.35046152891955,17.010125,29.8475,1.08109443402802,7.283625,10,0.0332142559510477,90.7075,1814.15
"many2many","opposite","2.5%","mean","T2000",1.33188265463967,17.448875,29.9,1.06559978368583,7.501375,10,0.0134588746828175,91.054125,1821.0825
"many2many","opposite","2.5%","mean","T4000",1.32343939745523,17.655375,29.8475,1.05379676160423,7.652125,10,-0.0194550828005748,93.203375,1864.0675
"many2many","opposite","2.5%","mean","T8000",1.32154481785689,17.90775,29.8475,1.04484806319221,7.787375,10,-0.0775466126538013,93.428625,1868.5725
"many2many","opposite","2.5%","var","T1000",0.000211072860911954,0.0477326388888888,0,4.11822355341261e-05,0.00234652777777779,0,0.000947468314577191,0.0952784722222217,38.1113888888889
"many2many","opposite","2.5%","var","T2000",0.000212516798686461,0.0434548611111111,0,4.58277564588731e-05,0.00256666666666668,0,0.000906305295479919,0.0627215277777781,25.0886111111111
"many2many","opposite","2.5%","var","T4000",0.000140194886530443,0.0291173611111111,0,3.16997244401789e-05,0.00200347222222224,0,0.00106233869888553,0.0718437499999993,28.7375
"many2many","opposite","2.5%","var","T8000",0.000124321387107173,0.0325520833333335,0,2.94582690016463e-05,0.0021111111111111,0,0.00115957462941333,0.0733215277777789,29.3286111111111
"many2many","opposite","50%","mean","T1000",1.50473427776469,19.9275,30,1.20463303036516,8.3025,10,0.503201272233694,95.23,1904.6
"many2many","opposite","50%","mean","T2000",1.48255119496601,20.24,30,1.17990497074307,8.4775,10,0.474864131265242,95.22,1904.4
