"o","topo","envfilt","stat","summary","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","N","Ntot"
"0.9","many2many","opposite","2.5%","var",0.000131690732612028,0.0308326388888888,0,5.23049599128624e-05,0.00374166666666666,0,0.0605256944444444,24.2102777777778
"0.9","many2many","opposite","50%","mean",1.4603134442849,20.55,30,1.18572456558172,8.435,10,95.2425,1904.85
"0.9","many2many","opposite","50%","var",0.000490482669983597,0.0978472222222221,0,0.000197826460946246,0.00955555555555556,0,0.209777777777778,83.9111111111111
"0.9","many2many","opposite","97.5%","mean",1.7146254600527,22.93625,30,1.41447528983526,9.383375,10,95.538125,1910.7625
"0.9","many2many","opposite","97.5%","var",0.00122813640018105,0.184944444444445,0,0.000862699495625537,0.0275194444444444,0,0.572630555555555,229.052222222222
"0.9","many2many","opposite","mean","mean",1.46719400485003,20.5477,29.998,1.19426726787239,8.41535,10,95.2517,1905.034
"0.9","many2many","opposite","mean","var",0.000529884248902813,0.0987311111111111,0.002,0.000249096616031038,0.0111358333333333,0,0.241362222222222,96.5448888888889
"0.9","many2many","opposite","var","mean",0.0108402425184134,1.94759263636364,0.000197979797979804,0.00761862097377714,0.322802654040404,0,0.0233041515151516,9.3216606060605
"0.9","many2many","opposite","var","var",8.94339251322765e-08,0.00172767609552314,0.000197979797979798,4.72604443158083e-08,3.74250357744107e-05,0,0.0519275626000748,8308.41001601197
"0.9","many2many","same","2.5%","mean",1.29241230071379,18.066875,29.9,1.06812284589977,7.18425,10,94.62425,1892.485
"0.9","many2many","same","2.5%","var",0.000158373652059927,0.0329111111111111,0,4.46806726255897e-05,0.00230277777777777,0,0.0825361111111106,33.0144444444444
"0.9","many2many","same","50%","mean",1.44351080888267,20.7875,30,1.17905509717975,8.4825,10,95.21,1904.2
"0.9","many2many","same","50%","var",0.000472201470526144,0.0909027777777778,0,0.00015922713412077,0.00736111111111112,0,0.233888888888888,93.5555555555556
"0.9","many2many","same","97.5%","mean",1.65859561144196,23.218375,30,1.3921334675463,9.362625,10,95.6115,1912.23
"0.9","many2many","same","97.5%","var",0.00115320834404692,0.212614583333333,0.1,0.000485680657220914,0.0226979166666667,0,0.925704861111106,370.281944444442
"0.9","many2many","same","mean","mean",1.45187628514065,20.7592,29.992,1.18800731740809,8.4574,10,95.146,1902.92
"0.9","many2many","same","mean","var",0.000529265685687978,0.101733333333333,0.00777777777777778,0.000194620776331044,0.0092361111111111,0,0.301442777777778,120.577111111111
"0.9","many2many","same","var","mean",0.0104594712472598,1.970364,0.000945454545454559,0.00686298258417928,0.321063373737374,0,0.251303535353536,100.521414141414
"0.9","many2many","same","var","var",8.53791581763592e-08,0.0026497651203392,0.000864197530864198,2.11155951241764e-08,2.92279352163611e-05,0,0.216768729374299,34682.9966998878
"0.9","one2many","all","2.5%","mean",1.7250670238624,11.021625,29.4,1.43940946619896,4.127375,9.3475,90.4115,1808.23
"0.9","one2many","all","2.5%","var",0.000479861890657209,0.0228270833333333,0,0.000549466367350961,0.0060034722222222,0,0.0728368055555561,29.1347222222222
"0.9","one2many","all","50%","mean",2.04581346688365,14.6725,30,1.79657340702317,5.54,10,94.5825,1891.65
"0.9","one2many","all","50%","var",0.00161305931108874,0.0822777777777777,0,0.00187601810632456,0.0166944444444444,0,0.308791666666666,123.516666666667
"0.9","one2many","all","97.5%","mean",2.69698763295293,17.397,30,2.38208406784408,6.95025,10,95.363625,1907.2725
"0.9","one2many","all","97.5%","var",0.00723319512987716,0.185225,0.392222222222221,0.0202429791641621,0.0345881944444444,0.2725,3.83249444444444,1532.99777777778
"0.9","one2many","all","mean","mean",2.10255209401109,14.40635,29.921,1.81668104378782,5.565,9.948,94.10985,1882.197
"0.9","one2many","all","mean","var",0.002306991516805,0.0882536111111111,0.0567777777777778,0.00346473211576885,0.0177877777777778,0.0242222222222222,0.676769722222222,270.707888888889
"0.9","one2many","all","var","mean",0.0570889397551987,2.35348881565657,0.0360191919191919,0.0522561391748557,0.499339393939394,0.0358545454545454,1.8890027550505,755.601102020202
"0.9","one2many","all","var","var",4.50260515995098e-06,0.00176603580020888,0.017792480359147,4.4084001803441e-05,6.94801646090535e-05,0.00778496071829405,0.891907087624627,142705.13401994
"0.9","one2many","none","2.5%","mean",1.03701467841507,28.671875,30,1,9.865,10,94.977125,1899.5425
"0.9","one2many","none","2.5%","var",1.81973382936348e-05,0.0140194444444444,0,0,0,0,0.0846145833333337,33.8458333333333
"0.9","one2many","none","50%","mean",1.04169845560187,28.8,30,1.00454299390095,9.955,10,95.245,1904.9
"0.9","one2many","none","50%","var",6.30327328915997e-05,0.0480555555555555,0,2.15284730087568e-05,0.0021111111111111,0,0.21351388888889,85.4055555555556
"0.9","one2many","none","97.5%","mean",1.04634695455724,28.93,30,1.01375696828352,10,10,95.507875,1910.1575
"0.9","one2many","none","97.5%","var",0.00013486706289762,0.102720138888889,0,8.7502787270213e-05,0.00833333333333331,0,0.468200694444445,187.280277777778
"0.9","one2many","none","mean","mean",1.04158801039864,28.8039,30,1.00528023711055,9.94785,10,95.2451,1904.902
"0.9","one2many","none","mean","var",6.62054027612134e-05,0.050505,0,2.64790156433856e-05,0.00254361111111111,0,0.227927222222222,91.1708888888889
"0.9","one2many","none","var","mean",5.52933214188189e-06,0.00422251515151516,0,1.47565078381087e-05,0.00142285606060605,0,0.0227338282828284,9.09353131313129
"0.9","one2many","none","var","var",8.87065574256047e-10,0.000509929158560916,0,5.50759411389942e-10,4.8801791838134e-06,0,0.0106259926078688,1700.15881725901
"0.9","one2many","opposite","2.5%","mean",1.27771383853938,18.395125,30,1.11268921279951,6.715625,10,94.96975,1899.395
"0.9","one2many","opposite","2.5%","var",0.00012418318810323,0.0301243055555555,0,0.000105684075834447,0.0046701388888889,0,0.0892611111111118,35.7044444444444
"0.9","one2many","opposite","50%","mean",1.44746283869332,20.73,30,1.28951823436388,7.7575,10,95.225,1904.5
