"o","topo","envfilt","stat","summary","env","measure","cor_a","cor_b"
"0.5","many2many","none","50%","mean",2,"N",0.0127950931260398,0.0127950931260398
"0.5","many2many","none","97.5%","mean",2,"N",0.144084670378592,0.144084670378592
"0.5","many2many","none","mean","mean",2,"N",0.00971616380717797,0.00971616380717797
"0.5","many2many","none","var","mean",2,"N",0.0054551775783747,0.0054551775783747
"0.5","many2many","none","2.5%","var",2,"N",0.0161618812189453,0.0161618812189453
"0.5","many2many","none","50%","var",2,"N",0.0509531486681803,0.0509531486681803
"0.5","many2many","none","97.5%","var",2,"N",0.103349815933793,0.103349815933793
"0.5","many2many","none","mean","var",2,"N",0.052017918415151,0.052017918415151
"0.5","many2many","none","var","var",2,"N",0.000618983714105957,0.000618983714105957
"0.5","many2many","none","2.5%","mean",2,"rda",0.0415101698244677,0.0186522891643229
"0.5","many2many","none","50%","mean",2,"rda",0.0520958186297166,0.0344011714011758
"0.5","many2many","none","97.5%","mean",2,"rda",0.066005868567233,0.0367992720173618
"0.5","many2many","none","mean","mean",2,"rda",0.0527313736264435,0.0297166866219944
"0.5","many2many","none","var","mean",2,"rda",4.17639939385297e-05,0.000107680732214977
"0.5","many2many","none","2.5%","var",2,"rda",0.000100408337681115,0.000444515431783467
"0.5","many2many","none","50%","var",2,"rda",0.000329672596006698,0.00193799106471463
"0.5","many2many","none","97.5%","var",2,"rda",0.00100876775511487,0.00239099817336396
"0.5","many2many","none","mean","var",2,"rda",0.000374771031431977,0.00157291438952802
"0.5","many2many","none","var","var",2,"rda",5.06580582004791e-08,1.14948845243152e-06
"0.5","many2many","none","2.5%","mean",2,"S",-0.133440065626009,-0.115296533115892
"0.5","many2many","none","50%","mean",2,"S",0.00497464859938645,0.0244670974064761
"0.5","many2many","none","97.5%","mean",2,"S",0.121554757830741,0.111207527689201
"0.5","many2many","none","mean","mean",2,"S",-0.00165330096594589,0.00586246574344346
"0.5","many2many","none","var","mean",2,"S",0.00516511573672554,0.0144712583977143
"0.5","many2many","none","2.5%","var",2,"S",0.0190894265355987,0.0194022443164549
"0.5","many2many","none","50%","var",2,"S",0.0507486157666235,0.024411026739298
"0.5","many2many","none","97.5%","var",2,"S",0.0985376768856789,0.0248138539004392
"0.5","many2many","none","mean","var",2,"S",0.0531567872745784,0.0227949020860693
"0.5","many2many","none","var","var",2,"S",0.000491187633640685,1.00712261072218e-05
"0.5","many2many","opposite","2.5%","mean",1,"jaccard",-0.184985380078188,-0.162331476489487
"0.5","many2many","opposite","50%","mean",1,"jaccard",0.0218225585015249,0.00315172608602192
"0.5","many2many","opposite","97.5%","mean",1,"jaccard",0.33409194705452,0.367420243314467
"0.5","many2many","opposite","mean","mean",1,"jaccard",0.0286514706143977,0.0147007207327186
"0.5","many2many","opposite","var","mean",1,"jaccard",0.0171436136454231,0.0176933277620894
"0.5","many2many","opposite","2.5%","var",1,"jaccard",0.000307417100910032,0.00019615837023221
"0.5","many2many","opposite","50%","var",1,"jaccard",0.00145235024461512,0.00392735261066421
"0.5","many2many","opposite","97.5%","var",1,"jaccard",0.00453411848376485,0.0390353798256979
"0.5","many2many","opposite","mean","var",1,"jaccard",0.00164314224732206,0.00835966719422209
"0.5","many2many","opposite","var","var",1,"jaccard",1.12295572854635e-06,0.000141996369967592
"0.5","many2many","opposite","2.5%","mean",1,"N",-0.10118771228551,-0.10118771228551
"0.5","many2many","opposite","50%","mean",1,"N",0.00240542999204956,0.00240542999204956
"0.5","many2many","opposite","97.5%","mean",1,"N",0.125925238530573,0.125925238530573
"0.5","many2many","opposite","mean","mean",1,"N",0.0063866508440897,0.0063866508440897
"0.5","many2many","opposite","var","mean",1,"N",0.00521604794741766,0.00521604794741766
"0.5","many2many","opposite","2.5%","var",1,"N",0.0132096252766587,0.0132096252766587
"0.5","many2many","opposite","50%","var",1,"N",0.0487534460661027,0.0487534460661027
"0.5","many2many","opposite","97.5%","var",1,"N",0.0925449289998472,0.0925449289998472
"0.5","many2many","opposite","mean","var",1,"N",0.0501044386453425,0.0501044386453425
"0.5","many2many","opposite","var","var",1,"N",0.000473658470239489,0.000473658470239489
